"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.003,9.972181087747552,0.02999986443535896,-1.283695372222837e-16,4.396293666439378e-18
0.006,9.946528664463193,0.05999930798965458,1.873501354054952e-16,5.314107297237577e-18
0.009000000000000001,9.923553223747639,0.08999785697622897,-2.081668171172169e-16,8.754226421687642e-18
0.012,9.903259264297905,0.119995071099499,-2.914335439641036e-16,9.525666143870815e-18
0.015,9.885536751324622,0.1499904020823006,4.163336342344337e-16,1.008370679625633e-17
0.018,9.870347806629974,0.1799837377522451,-7.771561172376096e-16,1.024965492811977e-17
0.021,9.857537436528139,0.2099745491282139,-6.106226635438361e-16,1.011623719393592e-17
0.024,9.846995348421466,0.239962508360275,7.771561172376096e-16,9.870662344654631e-18
0.027,9.8385219002006,0.2699470805512547,6.106226635438361e-16,9.997929539738655e-18
0.03,9.831927027063632,0.2999277579358779,8.326672684688674e-16,1.088990503608388e-17
0.033,9.827016811705922,0.3299042136632568,4.996003610813204e-16,1.16884707296358e-17
0.036,9.823565183454193,0.3598760450329621,-5.551115123125783e-16,1.174590343100474e-17
0.039,9.821336973449002,0.3898428362364132,-1.110223024625157e-16,1.093647329310216e-17
0.042,9.820072817948052,0.4198040188541654,3.885780586188048e-16,1.061693032597896e-17
0.045,9.819503804184546,0.4497592155093493,4.440892098500626e-16,1.022983951669919e-17
0.048,9.819374683746549,0.4797080010054788,4.996003610813204e-16,9.853377425510575e-18
0.051,9.819428533676174,0.509649956214858,-6.661338147750939e-16,9.587305099786032e-18
0.054,9.819393354568998,0.5395846618510038,5.551115123125783e-16,9.578382128428246e-18
0.057,9.819004516852296,0.5695116943519221,-2.220446049250313e-16,9.823679555725963e-18
0.06,9.818001255867166,0.5994306252435404,7.771561172376096e-16,1.018773710951907e-17
0.063,9.81613340199571,0.6293410453964761,-2.220446049250313e-16,1.061366196023027e-17
0.066,9.813158522145276,0.6592425397093731,8.881784197001252e-16,1.093582244447694e-17
0.06900000000000001,9.80882477826534,0.6891346630162314,7.771561172376096e-16,1.151691096166157e-17
0.07200000000000001,9.802912747290989,0.7190169970924423,-8.881784197001252e-16,1.210910942202134e-17
0.075,9.795209936878921,0.7488891097014374,-6.661338147750939e-16,1.264071414878988e-17
0.078,9.785519786398238,0.7787505732096385,-6.661338147750939e-16,1.292954433026315e-17
0.081,9.773664566582655,0.8086009876579237,7.771561172376096e-16,1.244764232643613e-17
0.08400000000000001,9.75948488319918,0.838439913618096,3.33066907387547e-16,1.097120165632534e-17
0.08700000000000001,9.742843684738501,0.8682669246996042,-2.220446049250313e-16,8.056436085457375e-18
0.09,9.723623588766229,0.8980815951426102,2.220446049250313e-16,3.531984977704513e-18
0.093,9.701713886736949,0.9278835042151332,-2.220446049250313e-16,-1.19241641256981e-18
0.096,9.677051718936228,0.9576722246403548,-3.33066907387547e-16,-6.56640363071756e-18
0.099,9.649592920893742,0.9874473317574033,-8.881784197001252e-16,-1.217369323026427e-17
0.102,9.619321695164512,1.017208401236077,6.661338147750939e-16,-1.741064301267094e-17
0.105,9.58625087122725,1.046955009193729,-8.881784197001252e-16,-2.153106910841163e-17
0.108,9.550357266567937,1.07668673418185,6.661338147750939e-16,-2.687096740350382e-17
0.111,9.511727603681392,1.106403153106703,4.440892098500626e-16,-3.175644133336093e-17
0.114,9.470449580441326,1.136103844491878,2.220446049250313e-16,-3.589857438285303e-17
0.117,9.426641730148583,1.165788387742428,2.220446049250313e-16,-3.898790256982467e-17
0.12,9.380454543938198,1.195456363236916,4.440892098500626e-16,-4.069697042554656e-17
0.123,9.331934495962056,1.225107343172901,2.220446049250313e-16,-4.19547252026006e-17
0.126,9.281279649633007,1.25474090882272,4.440892098500626e-16,-4.258824991694155e-17
0.129,9.228706749234162,1.284356641585785,-4.440892098500626e-16,-4.256871060029971e-17
0.132,9.174438195805926,1.313954122126524,8.881784197001252e-16,-4.214514823433718e-17
0.135,9.118721400650902,1.343532931696009,-8.881784197001252e-16,-4.167790652829268e-17
0.138,9.061744654445514,1.37309264835618,2.220446049250313e-16,-4.088810088786541e-17
0.141,9.003674606287813,1.402632848689299,-6.661338147750939e-16,-3.920760441844761e-17
0.144,8.944842156005567,1.43215311620172,6.661338147750939e-16,-3.747210938847934e-17
0.147,8.885523307828713,1.461653031458116,2.220446049250313e-16,-3.594876519264858e-17
0.15,8.826006240320863,1.491132175125694,-4.440892098500626e-16,-3.495394898318808e-17
0.153,8.766574109854803,1.520590128046159,-6.661338147750939e-16,-3.471168448035982e-17
0.156,8.707346820587437,1.550026472132781,-4.440892098500626e-16,-3.396371954756786e-17
0.159,8.648681590970677,1.579440787998331,4.440892098500626e-16,-3.352572476069233e-17
