"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.003,9.969999999999999,0.02999999999999936,-6.38378239159465e-16,0
0.003,9.969999999999999,0.02999999999999936,-6.38378239159465e-16,0
0.006,9.942823462582759,0.05999978681679785,4.302114220422482e-16,-5.329070518200752e-18
0.009000000000000001,9.91844575475011,0.08999893408701709,1.665334536937735e-16,1.540743955509789e-33
0.012,9.896817406561929,0.1199970154563719,-6.106226635438361e-16,2.664535259100377e-18
0.015,9.877864554013117,0.1499936045857275,5.551115123125783e-16,2.664535259100377e-18
0.018,9.861489598433879,0.179988275157152,7.216449660063518e-16,2.664535259100377e-18
0.021,9.847572076560416,0.2099806008799838,6.938893903907228e-16,5.329070518200752e-18
0.024,9.835969733553101,0.2399701554968861,1.665334536937735e-16,5.329070518200752e-18
0.027,9.826519789437942,0.2699565127899071,6.661338147750939e-16,7.993605777301126e-18
0.03,9.819040387730229,0.2999392465865327,1.110223024625157e-16,7.993605777301126e-18
0.033,9.81333221338226,0.3299179307657507,4.440892098500626e-16,7.993605777301126e-18
0.036,9.80918026569403,0.3598921392640992,-5.551115123125783e-17,7.993605777301126e-18
0.039,9.806355770450383,0.3898614460817296,8.326672684688674e-16,7.993605777301126e-18
0.042,9.804618214312285,0.419825425288451,-6.106226635438361e-16,7.993605777301126e-18
0.045,9.803717483404798,0.4497836510297972,-6.661338147750939e-16,7.993605777301126e-18
0.048,9.803396087119383,0.4797356975330676,3.885780586188048e-16,7.993605777301126e-18
0.051,9.803391447391919,0.5096811391133791,-4.440892098500626e-16,7.993605777301126e-18
0.054,9.803438233136545,0.5396195501797258,1.110223024625157e-16,7.993605777301126e-18
0.057,9.803270719114689,0.5695505052410166,7.771561172376096e-16,7.993605777301126e-18
0.06,9.80262514830174,0.599473578912125,-7.771561172376096e-16,7.993605777301126e-18
0.063,9.801242076782776,0.6293883459199439,-4.440892098500626e-16,7.993605777301126e-18
0.066,9.798868680363825,0.6592943811094152,-2.220446049250313e-16,7.993605777301126e-18
0.06900000000000001,9.795261002424976,0.6891912594495828,8.881784197001252e-16,7.993605777301126e-18
0.07200000000000001,9.790186123063169,0.7190785560396264,7.771561172376096e-16,7.993605777301126e-18
0.075,9.78342423027116,0.7489558461149066,2.220446049250313e-16,7.993605777301126e-18
0.078,9.774770574768665,0.778822705052999,2.220446049250313e-16,7.993605777301126e-18
0.081,9.764037291134397,0.8086787083797269,1.110223024625157e-16,7.993605777301126e-18
0.08400000000000001,9.751055069074491,0.8385234317751973,5.551115123125783e-16,5.329070518200748e-18
0.08700000000000001,9.735674659992911,0.8683564510798281,4.440892098500626e-16,5.329070518200748e-18
0.09,9.717768205491403,0.8981773423003805,8.881784197001252e-16,7.993605777301114e-18
0.093,9.697230376007049,0.9279856816159793,-5.551115123125783e-16,2.664535259100358e-18
0.096,9.67397930948078,0.9577810453841451,-6.661338147750939e-16,2.664535259100358e-18
0.099,9.64795734172505,0.9875630101468058,-1.110223024625157e-16,2.664535259100358e-18
0.102,9.619131522007882,1.017331152636318,-2.220446049250313e-16,7.993605777301114e-18
0.105,9.587493909276834,1.047085049781487,-2.220446049250313e-16,1.332267629550185e-17
0.108,9.553061646393541,1.076824278713572,-4.440892098500626e-16,1.332267629550185e-17
0.111,9.515876811719863,1.106548416772302,-8.881784197001252e-16,1.332267629550185e-17
0.114,9.476006049372925,1.136257041511884,6.661338147750939e-16,1.86517468137026e-17
0.117,9.433539981430862,1.165949730706997,8.881784197001252e-16,2.398081733190336e-17
0.12,9.388592407306545,1.195626062358802,4.440892098500626e-16,2.398081733190336e-17
0.123,9.341299297395633,1.225285614700939,0,2.398081733190336e-17
0.126,9.291817589931345,1.254927966205518,2.220446049250313e-16,2.398081733190336e-17
0.129,9.240323801725111,1.28455269558911,8.881784197001252e-16,3.463895836830487e-17
0.132,9.187012465124214,1.314159381818736,2.220446049250313e-16,3.463895836830487e-17
0.135,9.132094405060039,1.34374760411785,4.440892098500626e-16,4.529709940470638e-17
0.138,9.075794871479918,1.37331694197232,-2.220446049250313e-16,4.529709940470638e-17
0.141,9.018351543739188,1.402866975136403,4.440892098500626e-16,3.463895836830487e-17
0.144,8.960012424666564,1.432397283638718,-2.220446049250313e-16,3.463895836830487e-17
0.147,8.901033642995205,1.461907447788215,-6.661338147750939e-16,3.463895836830487e-17
0.15,8.841677183665185,1.491397048180144,-6.661338147750939e-16,3.463895836830487e-17
0.153,8.782208566143325,1.520865665702004,-4.440892098500626e-16,3.463895836830487e-17
0.156,8.722894491367724,1.550312881539514,0,3.463895836830487e-17
0.159,8.664000478202823,1.579738277182553,-6.661338147750939e-16,3.463895836830487e-17
0.162,8.605788510383951,1.609141434431118,-4.440892098500626e-16,2.398081733190336e-17
0.165,8.548514714837163,1.638521935401259,-4.440892098500626e-16,1.332267629550185e-17
0.168,8.492427091981748,1.667879362531023,0,1.332267629550185e-17
0.171,8.437763318161322,1.697213298586388,-4.440892098500626e-16,1.332267629550185e-17
0.174,8.384748639709247,1.726523326667194,8.881784197001252e-16,2.398081733190336e-17
0.177,8.333593877340737,1.755809030213059,-4.440892098500626e-16,2.398081733190336e-17
0.18,8.284493558584771,1.785069993009317,0,2.398081733190336e-17
0.183,8.237624194832399,1.814305799192914,-2.220446049250313e-16,2.398081733190336e-17
0.186,8.193142718294471,1.843516033258332,4.440892098500626e-16,2.398081733190336e-17
0.189,8.151185092742363,1.872700280063487,0,2.398081733190336e-17
0.192,8.111865110362858,1.901858124835634,6.661338147750939e-16,1.86517468137026e-17
