"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.003,9.972181087747552,0.02999986443535896,-1.35308431126191e-16,4.396293666439379e-18
0.006,9.946528664463193,0.05999930798965458,1.873501354054952e-16,5.314107297237577e-18
0.009000000000000001,9.923553223747639,0.08999785697622897,-2.081668171172169e-16,8.754226421687642e-18
0.012,9.903259264297905,0.119995071099499,-2.914335439641036e-16,9.525666143870815e-18
0.015,9.885536751324622,0.1499904020823006,4.163336342344337e-16,1.008370679625633e-17
0.018,9.870347806629974,0.1799837377522451,-7.771561172376096e-16,1.024965492811977e-17
0.021,9.857537436528139,0.2099745491282139,-6.106226635438361e-16,1.011623719393592e-17
0.024,9.846995348421466,0.239962508360275,7.771561172376096e-16,9.870662344654632e-18
0.027,9.8385219002006,0.2699470805512547,6.106226635438361e-16,9.997929539738655e-18
0.03,9.831927027063632,0.2999277579358779,8.326672684688674e-16,1.088990503608387e-17
0.033,9.827016811705922,0.3299042136632568,4.996003610813204e-16,1.168847072963578e-17
0.036,9.823565183454193,0.3598760450329621,-5.551115123125783e-16,1.174590343100472e-17
0.039,9.821336973449002,0.3898428362364132,-1.110223024625157e-16,1.093647329310214e-17
0.042,9.820072817948052,0.4198040188541654,3.885780586188048e-16,1.061693032597894e-17
0.045,9.819503804184546,0.4497592155093493,4.440892098500626e-16,1.022983951669916e-17
0.048,9.819374683746549,0.4797080010054788,4.996003610813204e-16,9.853377425510547e-18
0.051,9.819428533676174,0.509649956214858,-6.661338147750939e-16,9.587305099786007e-18
0.054,9.819393354568998,0.5395846618510038,5.551115123125783e-16,9.578382128428223e-18
0.057,9.819004516852296,0.5695116943519221,-3.33066907387547e-16,9.823679555725941e-18
0.06,9.818001255867166,0.5994306252435404,6.661338147750939e-16,1.018773710951905e-17
0.063,9.81613340199571,0.6293410453964761,-3.33066907387547e-16,1.061366196023025e-17
0.066,9.813158522145276,0.6592425397093731,7.771561172376096e-16,1.095826641242989e-17
0.06900000000000001,9.80882477826534,0.6891346630162314,5.551115123125783e-16,1.191246524039455e-17
0.07200000000000001,9.802912747290991,0.719016997092444,6.661338147750939e-16,1.332984011268008e-17
0.075,9.795209936878921,0.7488891097014374,-7.771561172376096e-16,1.539573149607337e-17
0.078,9.785519786398238,0.7787505732096385,-7.771561172376096e-16,1.793549354905144e-17
0.081,9.773664566582655,0.8086009876579237,5.551115123125783e-16,1.940357798928059e-17
0.08400000000000001,9.75948488319918,0.838439913618096,2.220446049250313e-16,1.970304725992985e-17
0.08700000000000001,9.742843684738501,0.8682669246996042,-3.33066907387547e-16,1.792486968362647e-17
0.09,9.723623588766229,0.8980815951426102,1.110223024625157e-16,1.375152910030108e-17
0.093,9.701713886736949,0.9278835042151332,-3.33066907387547e-16,1.04946051013157e-17
0.096,9.67705171893623,0.9576722246403548,-4.440892098500626e-16,7.07297821081826e-18
0.099,9.64959292089374,0.9874473317574051,7.771561172376096e-16,4.349309774505908e-18
0.102,9.619321695164512,1.017208401236077,4.440892098500626e-16,3.539933447280887e-18
0.105,9.586250871227252,1.046955009193731,6.661338147750939e-16,6.087780294007271e-18
0.108,9.550357266567936,1.07668673418185,4.440892098500626e-16,5.538365099919097e-18
0.111,9.511727603681392,1.106403153106703,0,5.360819522241647e-18
0.114,9.470449580441326,1.136103844491878,0,5.366303764511471e-18
0.117,9.426641730148582,1.165788387742428,-2.220446049250313e-16,5.228310878612089e-18
0.12,9.380454543938198,1.195456363236916,2.220446049250313e-16,4.461871614300331e-18
0.123,9.331934495962056,1.225107343172901,0,4.764734248397845e-18
0.126,9.281279649633007,1.25474090882272,2.220446049250313e-16,5.6122030961843e-18
0.129,9.228706749234163,1.284356641585787,8.881784197001252e-16,6.545488510806031e-18
0.132,9.174438195805926,1.313954122126523,-4.440892098500626e-16,7.394634584005246e-18
0.135,9.118721400650903,1.343532931696011,4.440892098500626e-16,7.943630131535172e-18
0.138,9.061744654445516,1.37309264835618,-2.220446049250313e-16,8.379347268164865e-18
0.141,9.003674606287815,1.4026328486893,-2.220446049250313e-16,9.087426419182548e-18
0.144,8.944842156005567,1.432153116201719,-6.661338147750939e-16,9.651172109683104e-18
0.147,8.885523307828713,1.461653031458115,-8.881784197001252e-16,1.002553355830258e-17
0.15,8.826006240320865,1.491132175125694,-6.661338147750939e-16,1.017408464669708e-17
0.153,8.766574109854805,1.520590128046161,6.661338147750939e-16,1.008335187036241e-17
0.156,8.707346820587439,1.550026472132782,-2.220446049250313e-16,9.882613817088669e-18
0.159,8.648681590970678,1.579440787998331,0,9.545806144815835e-18
0.162,8.59084524241886,1.608832656843663,-4.440892098500626e-16,9.1380672043729e-18
0.165,8.534100723784071,1.638201659922889,-2.220446049250313e-16,8.752498516933896e-18
0.168,8.478705283603569,1.667547378525446,-4.440892098500626e-16,8.512999229695372e-18
0.171,8.424841637713714,1.696869398829191,-4.440892098500626e-16,8.117120183623764e-18
0.174,8.37273024721301,1.726167303587325,4.440892098500626e-16,7.622223171850068e-18
0.177,8.322589568164926,1.755440674867311,0,7.187980760784162e-18
0.18,8.27460363194438,1.784689096256882,6.661338147750939e-16,6.869200277346721e-18
0.183,8.228935998239615,1.813912151698878,2.220446049250313e-16,6.726991631666962e-18
0.186,8.18573740616927,1.843109426058636,2.220446049250313e-16,6.571653706963203e-18
0.189,8.145150385630805,1.87228050552097,-4.440892098500626e-16,5.784507412043959e-18
0.192,8.107259588017781,1.901424974944557,-6.661338147750939e-16,4.549465846143557e-18
